,,Name,Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
50,,@s0apalexandeer33,"2025-11-15 17:50:09",1,yes,no,"No voto por Artes, pero siendo extrema izquierda menos moderada que Jara le dio una clase de económica básica el alza de sueldo mínimo no significa que se mejora la situación económica por que el alza de sueldo conlleva a alza de precios por aumento de costos de producción xD",UC0i6vgpda-742MoNMUM8sLQ,Ugy1YGi4xorQ_Ifz_cB4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=Ugy1YGi4xorQ_Ifz_cB4AaABAg
51,,@CarlosGuillermoTapiaaraos,"2025-11-16 17:50:01",1,yes,no,"Voy Por Jara Soy Demócrata Cristiano pPD en Fin Quien Salga Al Final La Vida Sigue Igual",UCtJKKMbqr5F-e-qKa0ZmC4g,UgyrxDxzq2KOX9uQhzh4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgyrxDxzq2KOX9uQhzh4AaABAg
52,,@Catalinda-g3c,"2025-11-16 17:50:01",1,yes,no,"JARA, riéndose de los chilenos inocentes....no deberían por regla permitir que vayan a mentir a los debates y además televisarlo y darle tribuna!",UCfi4Kp3t96KHGnhbmPhnytQ,UgzUaYRxS1NuhaE3z1B4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgzUaYRxS1NuhaE3z1B4AaABAg
53,,@Claudiasguayo,"2025-11-16 17:50:01",2,yes,no,"Don Augusto dego sin deuda Chile",UCCbzxIMCT0Rl55wWJsc0BYA,Ugzinv-q7zjrC1BNdCx4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=Ugzinv-q7zjrC1BNdCx4AaABAg
54,,@Claudiasguayo,"2025-11-16 17:50:01",1,yes,no,"Kast tiene razón el país está malo recursos hay en chile el problema que se roban las plata de los municipios",UCCbzxIMCT0Rl55wWJsc0BYA,Ugys8o8uG-TX0AaYfuh4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=Ugys8o8uG-TX0AaYfuh4AaABAg
55,,@Claudiasguayo,"2025-11-16 17:50:01",1,yes,no,"No mas contribución",UCCbzxIMCT0Rl55wWJsc0BYA,Ugwe3jjwbR-unqg2JpV4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=Ugwe3jjwbR-unqg2JpV4AaABAg
56,,@Claudiasguayo,"2025-11-16 17:50:01",1,yes,no,"Pero los trabajos están todo en Santiago  no en la Araucanía",UCCbzxIMCT0Rl55wWJsc0BYA,UgxukIgFScmFOygBQaN4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgxukIgFScmFOygBQaN4AaABAg
57,,@Claudiasguayo,"2025-11-16 17:50:01",1,yes,no,"Todos los chilenos quieren trabajo no miceria",UCCbzxIMCT0Rl55wWJsc0BYA,UgyZEyPv7ETpguDYQip4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgyZEyPv7ETpguDYQip4AaABAg
58,,@VilmaBecerra-s4j,"2025-11-16 17:50:01",1,yes,no,"Que vergüenza cuando Kast dice que es su cuarto intento. Perdedor",UCDovrPie16YwGnYzjuy6IXg,UgxdQ-QsAJqfR_gKIPt4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgxdQ-QsAJqfR_gKIPt4AaABAg
59,,@benjaminvaldivia8101,"2025-11-16 17:50:01",1,yes,no,"Artes esta fuera de la carrera esta😊😊😊",UCEJzlhOcrtggsdk20JG2GMg,UgzVm7WAk5JsXxNaicB4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgzVm7WAk5JsXxNaicB4AaABAg
